HOSTNAME,JOIN,PHASE,PARTITION_COUNT,RUN_ID,RUNTIME_MS
nx05,HashJoin,"3 - ProbeSidePartitioning",128,7,1872
nx05,HashJoin,"4 - Joining",128,7,1637
nx05,HashJoin,"1 - HashTableBuild",128,8,4479
nx05,HashJoin,"2 - HashTableFinalization",128,8,12550
nx05,HashJoin,"3 - ProbeSidePartitioning",128,8,1551
nx05,HashJoin,"4 - Joining",128,8,1663
nx05,HashJoin,"1 - HashTableBuild",128,9,4435
nx05,HashJoin,"2 - HashTableFinalization",128,9,12561
nx05,HashJoin,"3 - ProbeSidePartitioning",128,9,1551
nx05,HashJoin,"4 - Joining",128,9,1649
nx05,HashJoin,"1 - HashTableBuild",256,0,4447
nx05,HashJoin,"2 - HashTableFinalization",256,0,12802
nx05,HashJoin,"3 - ProbeSidePartitioning",256,0,1684
nx05,HashJoin,"4 - Joining",256,0,1970
nx05,HashJoin,"1 - HashTableBuild",256,1,4445
nx05,HashJoin,"2 - HashTableFinalization",256,1,12710
nx05,HashJoin,"3 - ProbeSidePartitioning",256,1,1687
nx05,HashJoin,"4 - Joining",256,1,2102
nx05,HashJoin,"1 - HashTableBuild",256,2,4446
nx05,HashJoin,"2 - HashTableFinalization",256,2,12755
nx05,HashJoin,"3 - ProbeSidePartitioning",256,2,1683
nx05,HashJoin,"4 - Joining",256,2,2093
nx05,HashJoin,"1 - HashTableBuild",256,3,4456
nx05,HashJoin,"2 - HashTableFinalization",256,3,12724
nx05,HashJoin,"3 - ProbeSidePartitioning",256,3,1684
nx05,HashJoin,"4 - Joining",256,3,2090
nx05,HashJoin,"1 - HashTableBuild",256,4,4441
nx05,HashJoin,"2 - HashTableFinalization",256,4,12763
nx05,HashJoin,"3 - ProbeSidePartitioning",256,4,1683
nx05,HashJoin,"4 - Joining",256,4,1991
nx05,HashJoin,"1 - HashTableBuild",256,5,4455
nx05,HashJoin,"2 - HashTableFinalization",256,5,12750
nx05,HashJoin,"3 - ProbeSidePartitioning",256,5,1683
nx05,HashJoin,"4 - Joining",256,5,2103
nx05,HashJoin,"1 - HashTableBuild",256,6,4415
nx05,HashJoin,"2 - HashTableFinalization",256,6,12754
nx05,HashJoin,"3 - ProbeSidePartitioning",256,6,1684
nx05,HashJoin,"4 - Joining",256,6,2107
nx05,HashJoin,"1 - HashTableBuild",256,7,4453
nx05,HashJoin,"2 - HashTableFinalization",256,7,12745
nx05,HashJoin,"3 - ProbeSidePartitioning",256,7,1683
nx05,HashJoin,"4 - Joining",256,7,2148
nx05,HashJoin,"1 - HashTableBuild",256,8,4436
nx05,HashJoin,"2 - HashTableFinalization",256,8,12783
nx05,HashJoin,"3 - ProbeSidePartitioning",256,8,1687
nx05,HashJoin,"4 - Joining",256,8,2093
nx05,HashJoin,"1 - HashTableBuild",256,9,4431
nx05,HashJoin,"2 - HashTableFinalization",256,9,12778
nx05,HashJoin,"3 - ProbeSidePartitioning",256,9,1683
nx05,HashJoin,"4 - Joining",256,9,2156
nx05,HashJoin,"1 - HashTableBuild",512,0,4444
nx05,HashJoin,"2 - HashTableFinalization",512,0,12856
nx05,HashJoin,"3 - ProbeSidePartitioning",512,0,1759
nx05,HashJoin,"4 - Joining",512,0,2923
nx05,HashJoin,"1 - HashTableBuild",512,1,4433
nx05,HashJoin,"2 - HashTableFinalization",512,1,12861
nx05,HashJoin,"3 - ProbeSidePartitioning",512,1,1756
nx05,HashJoin,"4 - Joining",512,1,3078
nx05,HashJoin,"1 - HashTableBuild",512,2,4450
nx05,HashJoin,"2 - HashTableFinalization",512,2,12851
nx05,HashJoin,"3 - ProbeSidePartitioning",512,2,1751
nx05,HashJoin,"4 - Joining",512,2,3086
nx05,HashJoin,"1 - HashTableBuild",512,3,4454
nx05,HashJoin,"2 - HashTableFinalization",512,3,12858
nx05,HashJoin,"3 - ProbeSidePartitioning",512,3,1751
nx05,HashJoin,"4 - Joining",512,3,3093
nx05,HashJoin,"1 - HashTableBuild",512,4,4448
