HOSTNAME,JOIN,PHASE,PARTITION_COUNT,RUN_ID,RUNTIME_MS
cx05,HashJoin,"3 - ProbeSidePartitioning",2048,3,2718
cx05,HashJoin,"4 - Joining",2048,3,1595
cx05,HashJoin,"1 - HashTableBuild",2048,4,4305
cx05,HashJoin,"2 - HashTableFinalization",2048,4,12938
cx05,HashJoin,"3 - ProbeSidePartitioning",2048,4,2721
cx05,HashJoin,"4 - Joining",2048,4,1605
cx05,HashJoin,"1 - HashTableBuild",2048,5,4277
cx05,HashJoin,"2 - HashTableFinalization",2048,5,12936
cx05,HashJoin,"3 - ProbeSidePartitioning",2048,5,2743
cx05,HashJoin,"4 - Joining",2048,5,1607
cx05,HashJoin,"1 - HashTableBuild",2048,6,4232
cx05,HashJoin,"2 - HashTableFinalization",2048,6,13026
cx05,HashJoin,"3 - ProbeSidePartitioning",2048,6,2719
cx05,HashJoin,"4 - Joining",2048,6,1590
cx05,HashJoin,"1 - HashTableBuild",2048,7,4266
cx05,HashJoin,"2 - HashTableFinalization",2048,7,12975
cx05,HashJoin,"3 - ProbeSidePartitioning",2048,7,2719
cx05,HashJoin,"4 - Joining",2048,7,1599
cx05,HashJoin,"1 - HashTableBuild",2048,8,4229
cx05,HashJoin,"2 - HashTableFinalization",2048,8,13030
cx05,HashJoin,"3 - ProbeSidePartitioning",2048,8,2715
cx05,HashJoin,"4 - Joining",2048,8,1612
cx05,HashJoin,"1 - HashTableBuild",2048,9,4223
cx05,HashJoin,"2 - HashTableFinalization",2048,9,13078
cx05,HashJoin,"3 - ProbeSidePartitioning",2048,9,2737
cx05,HashJoin,"4 - Joining",2048,9,1605
